,sentence,rating
134,"That may be an unintended consequence, but it is a serious one that could affect our Nation's financial markets, health, and safety.",1
421,"Placing the tax on the revenue side makes it much more costly for small device makers to pay for it because many of them have high revenue levels, but much smaller gain margins.",1
256,"In most federal prisons, there are only one or two officers on duty in a cell block, meaning officers are guarding nearly 130 prisoners with virtually nothing to protect themselves.",1
125,"Joe Paterno and his wife, Sue, and their five children announced a contribution of $3.5 million to the university in 1998, bringing Paterno's lifetime giving total to more than $4 million.",1
980,"We all hope for two states, living side by side peacefully, with families secure, that they can raise their children in a future that will bring peace and prosperity and tranquillity in a troubled neighborhood of the world.",1
602,"Mr. Speaker, I want to respond to my colleague from Colorado who has raised some concerns about the issue of hydraulic fracturing.",1
1006,"But the leap from saying that most undocumented women are vulnerable to attack and saying most undocumented men are rapists is, as he might say himself, huge.",1
356,"Yes, Mr. Speaker, it is now criminal in the United States to kneel and pray in front of the White House for the restoration of religious freedom.",1
440,"So let's finish our job, Mr. Speaker, and commit to making this the year we make permanent the Federal conservation easement tax incentive.",1
800,"As such, EPA needs the ability to look into criminal activity, whether it is illegal dumping of waste, negligent dumping of toxics or oil, and the illegal importation of products from other countries by those who would choose to ignore U.S. law.",1
795,"When her husband, Paul Galanti, was shot down and taken as a prisoner of war in North Vietnam in June 1966, Phyllis did not respond with fear but, instead, became a tireless advocate for American POWs around the  world.",1
312,I rise today to recognize National Rural Health Day.,1
673,"I particularly want to say to my friends Mr. Grimm and Mr. King of New York, and I've seen several times that they've sat  and worked together collectively with our Governor, whom I also want to contribute a special thank-you to, Governor Mario Cuomo, and Governor Chris Christie from New Jersey, for working cooperatively, not as a Democrat  or a Republican, but working as an elected official to come together to the aid of people who need aid, aid from a terrible storm.",1
57,"So I say to my fellow Democrats: if cutting SNAP or other programs that help poor people is the price of admission to get anything done, any piece of major legislation passed, then we have strayed very, very far from our principles.",1
581,"Mr. Chairman, again, I would say that, based on the direction from the CNO and his directives of how the Navy is looking to reorganize itself to make sure that it has the ability to preserve maritime superiority--this came out just 5 months ago--to me, it makes perfect sense for us to be able to do that.",1
603,"On the last night we were in Israel, one of the last nights, as we finished dinner at a restaurant on the Sea of Galilee, the owner of the restaurant took the microphone and indicated that Members of the American Congress were here to stop this bad Iran deal.",1
405,"I find it very, very upsetting that this vote will, of course, be overwhelmingly in support of correcting the civil liberties of Syria and making Iran toe the line and give up on something that they're permitted to do.",1
117,We can't give in.,1
449,"Of the 92 victims of that assault on that day, 23 were children.",1
731,"Frances Willard earned her place in history by pioneering the temperance movement, breaking walls in the field of education and leading the movement to obtain women's right to vote.",1
128,It enhances sexual assault prevention for male victims.,1
310,"Thank you for joining the discussion at #CBCTalks, and we are going to continue this discussion because 46 million people in our country live in poverty; 16 million of them are children.",1
3,I believe as soon as we realize Latinos yearn to share the same American principles and aspirations as so many descendants of other immigrant groups--of Italian Americans and Irish Americans and German Americans and Asian Americans and all Americans--certainly America will thrive.,1
861,"The number one part for the Republican plan is transfer trillions of dollars of prosperity from middle class America to the wealthiest in the country who don't need it; number two, explode the deficit, because there is no way to pay for this unless you cut a bunch of stuff; and then, number three, cut more.",1
653,"Mr. Speaker, there are basic problems with flood insurance.",1
840,"Apologists for Iran say that they just need to say these types of things, as well as maintain a limited nuclear stockpile, in order to save face and preserve their national pride.",1
697,This abdication of duty has not been seen since the Harding Administration.,1
199,"Mr. Speaker, the attack on our embassy in Benghazi was a tragic reminder of the security environment in which many of our diplomats serve.",1
785,"Chairman Walden indicated that, while he does understand that the program is scheduled to run through September 30, that the analysis from the nonpartisan Medicaid and CHIP Payment and Access Commission shows that States have enough funds remaining in their accounts through the end of this year.",1
147,"There are far too many criminal laws, the number of which we don't know exactly, but which allow a violation of a regulation to be a crime, which allows the full power of the Federal Government to go after individuals.",1
462,"On Tuesday, Kansans from all across the Sunflower State wished him a happy 91st birthday.",1
941,"There are six important reforms included in this bill: It improves NFIP's financial stability; it will reduce the burden on taxpayers; it restores integrity to the FEMA mapping system; it will help bring certainty to the housing market through a 5-year reauthorization; and last, it explores ways to increase private market participation.",1
323,"In 2008, in one specific case in Georgia, that of a farmer--who did not want to mention his name for fear of retribution--his costs alone in legal fees were $525,000.",1
708,"If you turn that into a high-performing school, you'll add more value than anything else you could possibly do.",1
377,"God bless my mother, who is still alive.",1
358,"Mr. Speaker, I stand here today to advance the conversation surrounding the comprehensive tax reform.",1
477,The addition of this language is important because we do not want to create the impression that Congress principles expediency and cost-cutting over fairness.,1
925,We are supposed to be the ones who are embodying and leading in those values that we hold dear.,1
324,"Secondly, the bill seeks to enhance cooperation among monetary institutions, also regulatory authorities and law enforcement, by expanding the range of counter-illicit financing information shared with monetary institutions for the sole purpose of allowing such monetary institutions to identify and report specified illicit activity.",1
211,"A duty to preserve all the documents, particularly in light of the fact the central figure has taken the Fifth.",1
278,"It says to the people who help us draft legislation, who respond the phones in our offices, and who respond to constituent mail, who help a veteran get his benefits or a high school student apply to the military academies that, unlike every other Federal employee, their employer will not contribute a share toward their health insurance.",1
706,I believe the greatest opportunity we have here is to include efforts to move our Nation toward a greener economy as part of a comprehensive infrastructure bill.,1
